id,svenska,ordklass,förklaring_sv,kort_förklaring_sv,suomeksi,område,källa_url
374,kursplan,substantiv,"kursplan betecknar ett fenomen eller en dimension som blir viktig när man analyserar texter, bilder, material, undervisningssituationer eller forskningsprocesser. Begreppet hör hemma i pedagogik, didaktik, lärarutbildning och utbildningsvetenskap och används när undervisning, lärande, bedömning, deltagande och utbildningens villkor analyseras. Begreppet hjälper att koppla vardagliga undervisningssituationer till större pedagogiska och samhälleliga frågor.",Ramar in mål och innehåll i skolan.,kurssisuunnitelma,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
375,ämnesplan,substantiv,"ämnesplan är ett centralt substantiv inom pedagogik, didaktik, lärarutbildning och utbildningsvetenskap. Det fungerar som ett analytiskt ord för att ringa in ett fenomen, en relation eller en praktik som behöver beskrivas mer noggrant än i vardagsspråk. Det är särskilt användbart när undervisning, lärande, bedömning, deltagande och utbildningens villkor analyseras. Begreppet hjälper att koppla vardagliga undervisningssituationer till större pedagogiska och samhälleliga frågor.",Begrepp för undervisning och lärande.,aineen opetussuunnitelma,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
376,progression,substantiv,"progression är ett centralt substantiv inom pedagogik, didaktik, lärarutbildning och utbildningsvetenskap. Det fungerar som ett analytiskt ord för att ringa in ett fenomen, en relation eller en praktik som behöver beskrivas mer noggrant än i vardagsspråk. Det är särskilt användbart när undervisning, lärande, bedömning, deltagande och utbildningens villkor analyseras. Begreppet hjälper att koppla vardagliga undervisningssituationer till större pedagogiska och samhälleliga frågor.",Begrepp för undervisning och lärande.,progressio,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
377,scaffolding,substantiv,"När man talar om scaffolding talar man om något som får betydelse först i ett större sammanhang. Termen används för att visa hur praktik, material, språk, erfarenhet och positioner hänger samman. Den passar särskilt väl i pedagogik, didaktik, lärarutbildning och utbildningsvetenskap, där man ofta behöver beskriva relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar.",Begrepp för undervisning och lärande.,tukirakenteet,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
378,differentiering,substantiv,"Som forskningsbegrepp pekar differentiering på något som inte bara ska definieras, utan också undersökas i sina sammanhang. Ordet hjälper en att se vilka relationer, värden, handlingar eller villkor som påverkar situationen. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap riktas uppmärksamheten särskilt mot relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar.",Begrepp för undervisning och lärande.,eriyttäminen,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
379,inkluderande pedagogik,substantiv,"När man talar om inkluderande pedagogik talar man om något som får betydelse först i ett större sammanhang. Termen används för att visa hur praktik, material, språk, erfarenhet och positioner hänger samman. Den passar särskilt väl i pedagogik, didaktik, lärarutbildning och utbildningsvetenskap, där man ofta behöver beskriva relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar.",Rör undervisning och fostran.,inklusiivinen pedagogiikka,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
380,kritisk pedagogik,substantiv,"Med kritisk pedagogik avses här ett begrepp som hjälper till att namnge något som påverkar hur kunskap, erfarenhet eller betydelse skapas. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap används ordet för att uppmärksamma relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar. Det ger forskaren ett språk för att ställa mer precisa frågor.",Rör undervisning och fostran.,kriittinen pedagogiikka,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
381,relationell pedagogik,substantiv,"relationell pedagogik är ett ord man använder när man vill beskriva ett forskningsobjekt, ett material eller en pedagogisk situation mer nyanserat. Det gör det möjligt att skilja mellan olika betydelser och nivåer i analysen. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap används termen för att analysera relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar. Begreppet hjälper att koppla vardagliga undervisningssituationer till större pedagogiska och samhälleliga frågor.",Betonar relationer framför enheter.,relationaalinen pedagogiikka,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
382,estetiska lärprocesser,substantiv,"estetiska lärprocesser betecknar ett fenomen eller en dimension som blir viktig när man analyserar texter, bilder, material, undervisningssituationer eller forskningsprocesser. Begreppet hör hemma i pedagogik, didaktik, lärarutbildning och utbildningsvetenskap och används när undervisning, lärande, bedömning, deltagande och utbildningens villkor analyseras. Begreppet hjälper att koppla vardagliga undervisningssituationer till större pedagogiska och samhälleliga frågor.",Begrepp för undervisning och lärande.,esteettiset oppimisprosessit,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
383,skapande process,substantiv,"Med skapande process avses här ett begrepp som hjälper till att namnge något som påverkar hur kunskap, erfarenhet eller betydelse skapas. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap används ordet för att uppmärksamma relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar. Det ger forskaren ett språk för att ställa mer precisa frågor.",Begrepp för undervisning och lärande.,luova prosessi,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
384,erfarenhetsbaserat lärande,substantiv,"erfarenhetsbaserat lärande är ett ord man använder när man vill beskriva ett forskningsobjekt, ett material eller en pedagogisk situation mer nyanserat. Det gör det möjligt att skilja mellan olika betydelser och nivåer i analysen. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap används termen för att analysera relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar. Begreppet hjälper att koppla vardagliga undervisningssituationer till större pedagogiska och samhälleliga frågor.",Beskriver hur kunskap utvecklas.,kokemuksellinen oppiminen,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
385,kollektivt lärande,substantiv,"Som forskningsbegrepp pekar kollektivt lärande på något som inte bara ska definieras, utan också undersökas i sina sammanhang. Ordet hjälper en att se vilka relationer, värden, handlingar eller villkor som påverkar situationen. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap riktas uppmärksamheten särskilt mot relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar.",Beskriver hur kunskap utvecklas.,yhteisöllinen oppiminen,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
386,situationsbaserat lärande,substantiv,"Som forskningsbegrepp pekar situationsbaserat lärande på något som inte bara ska definieras, utan också undersökas i sina sammanhang. Ordet hjälper en att se vilka relationer, värden, handlingar eller villkor som påverkar situationen. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap riktas uppmärksamheten särskilt mot relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar.",Beskriver hur kunskap utvecklas.,tilanneperustainen oppiminen,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
387,praktiknära forskning,substantiv,"praktiknära forskning betecknar ett fenomen eller en dimension som blir viktig när man analyserar texter, bilder, material, undervisningssituationer eller forskningsprocesser. Begreppet hör hemma i pedagogik, didaktik, lärarutbildning och utbildningsvetenskap och används när undervisning, lärande, bedömning, deltagande och utbildningens villkor analyseras. Begreppet hjälper att koppla vardagliga undervisningssituationer till större pedagogiska och samhälleliga frågor.",Betonar handling i konkreta sammanhang.,käytäntöläheinen tutkimus,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
388,skolämne,substantiv,"Som forskningsbegrepp pekar skolämne på något som inte bara ska definieras, utan också undersökas i sina sammanhang. Ordet hjälper en att se vilka relationer, värden, handlingar eller villkor som påverkar situationen. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap riktas uppmärksamheten särskilt mot relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar.",Begrepp för undervisning och lärande.,oppiaine,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
389,klassrum,substantiv,"klassrum betecknar ett fenomen eller en dimension som blir viktig när man analyserar texter, bilder, material, undervisningssituationer eller forskningsprocesser. Begreppet hör hemma i pedagogik, didaktik, lärarutbildning och utbildningsvetenskap och används när undervisning, lärande, bedömning, deltagande och utbildningens villkor analyseras. Begreppet hjälper att koppla vardagliga undervisningssituationer till större pedagogiska och samhälleliga frågor.",Begrepp för undervisning och lärande.,luokkahuone,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
390,lärmiljö,substantiv,"lärmiljö är ett centralt substantiv inom pedagogik, didaktik, lärarutbildning och utbildningsvetenskap. Det fungerar som ett analytiskt ord för att ringa in ett fenomen, en relation eller en praktik som behöver beskrivas mer noggrant än i vardagsspråk. Det är särskilt användbart när undervisning, lärande, bedömning, deltagande och utbildningens villkor analyseras. Begreppet hjälper att koppla vardagliga undervisningssituationer till större pedagogiska och samhälleliga frågor.",Begrepp för undervisning och lärande.,oppimisympäristö,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
391,deltagande,substantiv,"deltagande är ett ord man använder när man vill beskriva ett forskningsobjekt, ett material eller en pedagogisk situation mer nyanserat. Det gör det möjligt att skilja mellan olika betydelser och nivåer i analysen. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap används termen för att analysera relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar. Begreppet hjälper att koppla vardagliga undervisningssituationer till större pedagogiska och samhälleliga frågor.",Begrepp för undervisning och lärande.,osallisuus,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
392,elevinflytande,substantiv,"elevinflytande betecknar ett fenomen eller en dimension som blir viktig när man analyserar texter, bilder, material, undervisningssituationer eller forskningsprocesser. Begreppet hör hemma i pedagogik, didaktik, lärarutbildning och utbildningsvetenskap och används när undervisning, lärande, bedömning, deltagande och utbildningens villkor analyseras. Begreppet hjälper att koppla vardagliga undervisningssituationer till större pedagogiska och samhälleliga frågor.",Rör lärande subjekt i utbildning.,oppilasvaikuttaminen,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
393,studentmedverkan,substantiv,"studentmedverkan är ett ord man använder när man vill beskriva ett forskningsobjekt, ett material eller en pedagogisk situation mer nyanserat. Det gör det möjligt att skilja mellan olika betydelser och nivåer i analysen. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap används termen för att analysera relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar. Begreppet hjälper att koppla vardagliga undervisningssituationer till större pedagogiska och samhälleliga frågor.",Rör lärande subjekt i utbildning.,opiskelijaosallisuus,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
394,agency i lärande,substantiv,"agency i lärande är ett ord man använder när man vill beskriva ett forskningsobjekt, ett material eller en pedagogisk situation mer nyanserat. Det gör det möjligt att skilja mellan olika betydelser och nivåer i analysen. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap används termen för att analysera relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar. Begreppet hjälper att koppla vardagliga undervisningssituationer till större pedagogiska och samhälleliga frågor.",Beskriver hur kunskap utvecklas.,toimijuus oppimisessa,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
395,lärarroll,substantiv,"lärarroll är ett centralt substantiv inom pedagogik, didaktik, lärarutbildning och utbildningsvetenskap. Det fungerar som ett analytiskt ord för att ringa in ett fenomen, en relation eller en praktik som behöver beskrivas mer noggrant än i vardagsspråk. Det är särskilt användbart när undervisning, lärande, bedömning, deltagande och utbildningens villkor analyseras. Begreppet hjälper att koppla vardagliga undervisningssituationer till större pedagogiska och samhälleliga frågor.",Beskriver hur kunskap utvecklas.,opettajan rooli,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
396,elevposition,substantiv,"elevposition är ett ord man använder när man vill beskriva ett forskningsobjekt, ett material eller en pedagogisk situation mer nyanserat. Det gör det möjligt att skilja mellan olika betydelser och nivåer i analysen. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap används termen för att analysera relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar. Begreppet hjälper att koppla vardagliga undervisningssituationer till större pedagogiska och samhälleliga frågor.",Rör lärande subjekt i utbildning.,oppilaan positio,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
397,kunskapspraktik,substantiv,"När man talar om kunskapspraktik talar man om något som får betydelse först i ett större sammanhang. Termen används för att visa hur praktik, material, språk, erfarenhet och positioner hänger samman. Den passar särskilt väl i pedagogik, didaktik, lärarutbildning och utbildningsvetenskap, där man ofta behöver beskriva relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar.",Betonar handling i konkreta sammanhang.,tietokäytäntö,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
398,pedagogisk dokumentation,substantiv,"pedagogisk dokumentation är ett ord man använder när man vill beskriva ett forskningsobjekt, ett material eller en pedagogisk situation mer nyanserat. Det gör det möjligt att skilja mellan olika betydelser och nivåer i analysen. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap används termen för att analysera relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar. Begreppet hjälper att koppla vardagliga undervisningssituationer till större pedagogiska och samhälleliga frågor.",Rör undervisning och fostran.,pedagoginen dokumentaatio,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
399,reflektionslogg,substantiv,"Som forskningsbegrepp pekar reflektionslogg på något som inte bara ska definieras, utan också undersökas i sina sammanhang. Ordet hjälper en att se vilka relationer, värden, handlingar eller villkor som påverkar situationen. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap riktas uppmärksamheten särskilt mot relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar.",Begrepp för undervisning och lärande.,reflektiopäiväkirja,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
400,portfolio,substantiv,"Med portfolio avses här ett begrepp som hjälper till att namnge något som påverkar hur kunskap, erfarenhet eller betydelse skapas. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap används ordet för att uppmärksamma relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar. Det ger forskaren ett språk för att ställa mer precisa frågor.",Begrepp för undervisning och lärande.,portfolio,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
401,seminarium,substantiv,"Som forskningsbegrepp pekar seminarium på något som inte bara ska definieras, utan också undersökas i sina sammanhang. Ordet hjälper en att se vilka relationer, värden, handlingar eller villkor som påverkar situationen. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap riktas uppmärksamheten särskilt mot relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar.",Begrepp för undervisning och lärande.,seminaari,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
402,verkstad,substantiv,"Med verkstad avses här ett begrepp som hjälper till att namnge något som påverkar hur kunskap, erfarenhet eller betydelse skapas. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap används ordet för att uppmärksamma relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar. Det ger forskaren ett språk för att ställa mer precisa frågor.",Begrepp för undervisning och lärande.,työpaja,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
403,kritik,substantiv,"kritik är ett ord man använder när man vill beskriva ett forskningsobjekt, ett material eller en pedagogisk situation mer nyanserat. Det gör det möjligt att skilja mellan olika betydelser och nivåer i analysen. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap används termen för att analysera relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar. Begreppet hjälper att koppla vardagliga undervisningssituationer till större pedagogiska och samhälleliga frågor.",Begrepp för undervisning och lärande.,kritiikki / palautekeskustelu,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
404,respons,substantiv,"Som forskningsbegrepp pekar respons på något som inte bara ska definieras, utan också undersökas i sina sammanhang. Ordet hjälper en att se vilka relationer, värden, handlingar eller villkor som påverkar situationen. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap riktas uppmärksamheten särskilt mot relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar.",Begrepp för undervisning och lärande.,vastine / palaute,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
405,kollegialt lärande,substantiv,"Med kollegialt lärande avses här ett begrepp som hjälper till att namnge något som påverkar hur kunskap, erfarenhet eller betydelse skapas. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap används ordet för att uppmärksamma relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar. Det ger forskaren ett språk för att ställa mer precisa frågor.",Beskriver hur kunskap utvecklas.,kollegiaalinen oppiminen,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
406,professionellt omdöme,substantiv,"Som forskningsbegrepp pekar professionellt omdöme på något som inte bara ska definieras, utan också undersökas i sina sammanhang. Ordet hjälper en att se vilka relationer, värden, handlingar eller villkor som påverkar situationen. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap riktas uppmärksamheten särskilt mot relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar.",Begrepp för undervisning och lärande.,ammatillinen harkinta,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
407,lärarutbildning,substantiv,"lärarutbildning är ett ord man använder när man vill beskriva ett forskningsobjekt, ett material eller en pedagogisk situation mer nyanserat. Det gör det möjligt att skilja mellan olika betydelser och nivåer i analysen. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap används termen för att analysera relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar. Begreppet hjälper att koppla vardagliga undervisningssituationer till större pedagogiska och samhälleliga frågor.",Beskriver hur kunskap utvecklas.,opettajankoulutus,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
408,högskolepedagogik,substantiv,"högskolepedagogik är ett ord man använder när man vill beskriva ett forskningsobjekt, ett material eller en pedagogisk situation mer nyanserat. Det gör det möjligt att skilja mellan olika betydelser och nivåer i analysen. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap används termen för att analysera relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar. Begreppet hjälper att koppla vardagliga undervisningssituationer till större pedagogiska och samhälleliga frågor.",Rör undervisning och fostran.,korkeakoulupedagogiikka,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
409,constructive alignment,substantiv,"constructive alignment är ett centralt substantiv inom pedagogik, didaktik, lärarutbildning och utbildningsvetenskap. Det fungerar som ett analytiskt ord för att ringa in ett fenomen, en relation eller en praktik som behöver beskrivas mer noggrant än i vardagsspråk. Det är särskilt användbart när undervisning, lärande, bedömning, deltagande och utbildningens villkor analyseras. Begreppet hjälper att koppla vardagliga undervisningssituationer till större pedagogiska och samhälleliga frågor.",Begrepp för undervisning och lärande.,linjakas opetus,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
410,utbildningspolitik,substantiv,"utbildningspolitik är ett ord man använder när man vill beskriva ett forskningsobjekt, ett material eller en pedagogisk situation mer nyanserat. Det gör det möjligt att skilja mellan olika betydelser och nivåer i analysen. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap används termen för att analysera relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar. Begreppet hjälper att koppla vardagliga undervisningssituationer till större pedagogiska och samhälleliga frågor.",Rör bilder och visuell mening.,koulutuspolitiikka,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
411,styrning,substantiv,"Med styrning avses här ett begrepp som hjälper till att namnge något som påverkar hur kunskap, erfarenhet eller betydelse skapas. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap används ordet för att uppmärksamma relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar. Det ger forskaren ett språk för att ställa mer precisa frågor.",Begrepp för undervisning och lärande.,ohjaus / hallinta,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
412,likvärdighet,substantiv,"likvärdighet är ett centralt substantiv inom pedagogik, didaktik, lärarutbildning och utbildningsvetenskap. Det fungerar som ett analytiskt ord för att ringa in ett fenomen, en relation eller en praktik som behöver beskrivas mer noggrant än i vardagsspråk. Det är särskilt användbart när undervisning, lärande, bedömning, deltagande och utbildningens villkor analyseras. Begreppet hjälper att koppla vardagliga undervisningssituationer till större pedagogiska och samhälleliga frågor.",Begrepp för undervisning och lärande.,yhdenvertaisuus koulutuksessa,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
413,tillgänglighet,substantiv,"tillgänglighet betecknar ett fenomen eller en dimension som blir viktig när man analyserar texter, bilder, material, undervisningssituationer eller forskningsprocesser. Begreppet hör hemma i pedagogik, didaktik, lärarutbildning och utbildningsvetenskap och används när undervisning, lärande, bedömning, deltagande och utbildningens villkor analyseras. Begreppet hjälper att koppla vardagliga undervisningssituationer till större pedagogiska och samhälleliga frågor.",Begrepp för undervisning och lärande.,saavutettavuus,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
414,undervisa,verb,"Att undervisa betyder här att utföra en medveten forsknings-, tolknings- eller undervisningshandling. Verbet beskriver en process snarare än ett färdigt resultat. Inom pedagogik, didaktik, lärarutbildning och utbildningsvetenskap används det för att visa hur kunskap, analys och material formas genom konkreta val.",Handlar om att ordna lärande.,opettaa,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
415,lära,verb,"Att lära är att ingripa i ett material eller en situation genom språk, metod, tolkning, samtal eller gestaltning. Verbet hjälper att beskriva forskarens, lärarens eller konstnärens arbete som aktivt, situerat och ansvarigt. Begreppet hjälper att koppla vardagliga undervisningssituationer till större pedagogiska och samhälleliga frågor.",Beskriver hur kunskap utvecklas.,oppia / opettaa,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
416,handleda,verb,"Att handleda betyder här att utföra en medveten forsknings-, tolknings- eller undervisningshandling. Verbet beskriver en process snarare än ett färdigt resultat. Inom pedagogik, didaktik, lärarutbildning och utbildningsvetenskap används det för att visa hur kunskap, analys och material formas genom konkreta val.",Beskriver en handling i undervisning.,ohjata,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
417,bedöma,verb,"Att bedöma betyder här att utföra en medveten forsknings-, tolknings- eller undervisningshandling. Verbet beskriver en process snarare än ett färdigt resultat. Inom pedagogik, didaktik, lärarutbildning och utbildningsvetenskap används det för att visa hur kunskap, analys och material formas genom konkreta val.",Beskriver en handling i undervisning.,arvioida,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
418,återkoppla,verb,"Verbet återkoppla används när forskaren, läraren eller studenten aktivt gör något med ett material, en teori, en bild eller en situation. Det markerar att analys och kunskapande är processer som sker steg för steg. I pedagogik, didaktik, lärarutbildning och utbildningsvetenskap kopplas handlingen ofta till relationen mellan lärare, studerande, innehåll, miljö, mål, material och institutionella ramar.",Beskriver en handling i undervisning.,antaa palautetta,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
419,planera undervisning,verb,"Att planera undervisning betyder här att utföra en medveten forsknings-, tolknings- eller undervisningshandling. Verbet beskriver en process snarare än ett färdigt resultat. Inom pedagogik, didaktik, lärarutbildning och utbildningsvetenskap används det för att visa hur kunskap, analys och material formas genom konkreta val.",Handlar om att ordna lärande.,suunnitella opetusta,"pedagogik, didaktik och utbildningsvetenskap",https://www.vr.se/analys/rapporter/vara-rapporter/2023-01-31-forskningsoversikt-2023-utbildningsvetenskap.html
